text@svd1978m	@svd1978m	432.788	434.815	вот такой вопрос вот там / узнают ли там / да //
text@svd1978m	@svd1978m	435.005	444.187	а / передача бактериального метагенома / изо рта в рот / по геному на эмали зубов / можно вполне узнать / вот / и посмотреть //
text@svd1978m	@svd1978m	444.497	449.797	известно что / например / неандертальцы с сапиенсами каким-то образом вот с ротовыми бактериями обменивались //
text@svd1978m	@svd1978m	450.4	452.576	ну / а / как еще можно передать ротовой геном //
text@svd1978m	@svd1978m	452.784	456.342	ну вот / ну можно конечно съесть язык  / наверное / чей-нибудь / злобно //
text@svd1978m	@svd1978m	456.828	457.408	#нрзб#
text@svd1978m	@svd1978m	459.303	464.779	ну / мон... / это / вряд ли / смотря с чем бутылка / потому что она может обеззаразить как раз / ээ //
text@svd1978m	@svd1978m	465.906	471.403	так что / в принципе / есть вот какие-то такие хитросделанные методы / ну и они все время новые появляются //
text@svd1978m	@svd1978m	472.01	472.618	так что /
text@svd1978m	@svd1978m	473.091	473.5	ну /
text@svd1978m	@svd1978m	474.503	478.701	конечно / наверное / не безграничные / возможности /  но / чудеса есть //
text@ab1983m	@ab1983m	140.396	141.502	а второй вопрос такой /
text@ab1983m	@ab1983m	141.85	146.035	а на какой вопрос / Станислав по антропологии вы сами хотели бы получить вопрос ?
text@ab1983m	@ab1983m	146.271	153.577	какой он / какой вопрос вас мучает как специалиста / и /  в... вам бы хотелось чтоб кто-нибудь где-нибудь на земле хотя бы нашел ответ на этот вопрос ?
text@ab1983m	@ab1983m	156.924	157.412	давайте //
text@ab1983m	@ab1983m	175.894	176.72	ага / понятно //
text@ab1983m	@ab1983m	176.72	179.773	был вопрос Сергея Ковалева а / расскажите / почему это вас мучает //
text@ab1983m	@ab1983m	179.859	180.321	почему //
text@ab1983m	@ab1983m	228.113	229.218	то есть вам нужны звенья?
text@ab1983m	@ab1983m	232.499	232.919	понятно //
text@ab1983m	@ab1983m	233.005	246.292	заметил кстати что / ээ / есть очень популярная такая / и такой троп / значит / в человеческой культуре / что / все как-то Африку недооценивают / недостаточно интересуются / и недооценивают ее разнообразие / а антропологи это кажется единственные люди у которых все наоборот //
text@ab1983m	@ab1983m	246.806	247.215	которые //
text@ab1983m	@ab1983m	261.331	264.806	понятно / а по / у вас самого есть мечта поехать копать в Африку?
text@ab1983m	@ab1983m	275.306	279.691	но если бы все полюбили копать на жаре в пылище / мы б может уже имели полный скелет //
text@ab1983m	@ab1983m	300.295	303.599	мм / понятно а / вот скажите вопрос который волнует уже меня /
text@ab1983m	@ab1983m	305.603	306.614	поскольку вы не //
text@ab1983m	@ab1983m	307.601	316.519	среди прочего вы / написали книжку / которую / мы были рады издавать / бай байки из грота про / как бы / ль... / частную жизнь / древних людей //
text@ab1983m	@ab1983m	317.311	317.713	ааа /
text@ab1983m	@ab1983m	318.103	326.502	и там / довольно много / на / данных раскопок экстраполируются / какие-то вещи / про которые казалось бы что мы про них не должны знать //
